ABM,SAP / DEALER CODE,DEALER NAME,PIN CODE,CONTACT #,KAM / EMM,LOCATION,GOOGLE LOCATION
VINAY,9007107,MANASA TIME AND OPTICALS,574201,9448004162,KAM,"Main Road, Puttur, Karnataka 574201",https://maps.app.goo.gl/Xpt9yj7fK6PSScCX9
VINAY,9014431,ABHARAN JEWELLERS PRIVATE LIMITED,576201,7349187866,KAM,"Belmankar Lane, Kundapura",The Original Abharan Jewellers | Kundapur - Google Maps
VINAY,9032192,LONDON TIMES,576101,9343162649,KAM,"Maruthi Veethika, Udupi",https://maps.app.goo.gl/2B9dLeQkt8RTnaVF6
VINAY,1101256,SYMPHONY HOUSE OF MUSIC,585102,9845352545,KAM,"Maktampura, Kalaburagi",https://maps.app.goo.gl/o4RgNN965zMmRYnq9
VINAY,9004199,ATTITUDE THE WATCH STUDIO,590001,9886776969,KAM,"Raviwar Peth, Belagavi",https://maps.app.goo.gl/Cq2KgJWeMUo1frph8
VINAY,9004203,HANUMAN WATCH COMPANY,590001,9986436037,KAM,"Raviwar Peth, Belagavi",https://maps.app.goo.gl/4bwVcLYsFj5ZhuMEA
VINAY,9004374,VIJAY WATCH & RADIO HOUSE-DVG,577002,9738662225,KAM,"PB Rd, KB Extension, Davanagere",https://maps.app.goo.gl/syCT2gMo5ggtGDjB9
VINAY,9021209,COSTA TIME COLLECTION(RAGHAVI BLDG),403601,9822157927,KAM,"Rangavi building, near Margao",https://maps.app.goo.gl/ZxGZXfbw2kGUdChM7
VINAY,9021224,PRECISON,403601,9822157927,KAM,"MUNICIPAL MARKET, Sanscar Society, Madgaon",https://maps.app.goo.gl/GYKR26R2E7UGYpWp9
MANJUNATH,9016275,SRI DURGA TIMES,560097,9341374734,KAM,"Narasipura Layout, Vidyaranyapura",TITAN SHOWROOM SRI DURGA TIMES - Google Maps
MANJUNATH,9001739,NEW ANKAD TIMES,560064,9845078279,KAM,"MIG Sector B, Yelahanka New Town",NEW ANKAD TIMES - Google Maps
MANJUNATH,9001687,JINNANI TIMES,560003,9886114407,KAM,"opp. central library, Malleshwaram",JINNANI TIMES - Google Maps
MANJUNATH,9000976,SHREE RENUKA ENTERPRISES,560098,9972928668,KAM,"BEML Layout, Rajarajeshwari Nagar",Titan Show Room (Shree Renuka Enterprises). - Google Maps
MANJUNATH,9000900,AADHUNICK TIME & FASHION,,9880933035,KAM,"Kothnur Main Rd, Puttenahalli",AADHUNICK TIME & FASHION - Google Maps
MANJUNATH,9024690,AADHUNICK TIMES ,560078,9606570771,KAM,"Ramaiah Garden, JP Nagar 7th Phase",Aadhunick Times Titan Showroom - Google Maps
MANJUNATH,9001784,RAJA TIME WORLD,572101,9686664599,KAM,"CSI Layout, Tumakuru",RAJA TIME WORLD - Google Maps
MANJUNATH,9037578,TIME WORLD,,9880075392,KAM,"OPP SAMUDAYA BHAVANA, ARISHINAKUNTE POST, NELAMANGALA",Titan Watch Store ( Time World) - Google Maps
MANJUNATH,9033638,UDAYA TIMES,560056,8123532983,KAM,"Srigandada Kaval, Annapurneshwari Nagar",Uday times WATCHES STORE - Google Maps
MANJUNATH,9038650,SRI SHIVANANDI ENTERPRISES,560040,8123532983,KAM,"Hoshalli Extension, Stage 1, VIJAYNAGAR",SRI SHIVANANDI ENTERPRISES - Google Maps
MANJUNATH,9027027,SRI NANDI ENTERPRISES,560109,9980574498,KAM,"Opposite to KSIT college,Raghuvanahalli",Titan showroom ( SRI NANDI ENTERPRISES ) - Google Maps
MANJUNATH,9038812,SRI NANDI ENTERPRISES,560063,9900574470,KAM,"opp. to NITESH COLUMBUS SQUARE, Bagalur",Titan Watch Outlet (Sri Nandi Enterprises) - Google Maps
MANJUNATH,9001780,"MANOJ TIME AGENCY
",572101,9740677777,KAM,"Vokkaligara Sangha Complex, Tumakuru",Manoj Time Agencies - Google Maps
MANJUNATH,1117699,NAVNIKH TIMES,560011,9481783701,KAM ,"Opp to Royal Comfort hotel, 4th Block Jaya Nagar",NAVNIKH TIMES - Google Maps
AKHILA,9038699,WORLD OF WATCHES,560003,7337725262,KAM,"opp. lalitha jewellery, Malleshwaram",World of Watches - Google Maps
AKHILA,9000017,OM WATCH CENTRE,570001,9845717514,KAM,"Devaraj Urs Road,MYSORE,",OM watch center - Google Maps
AKHILA,9000009,SHAKTHI MARKETING,560009,7411647597,KAM,"KEMPEGOWDA COMMERCIAL ARCADE, COUPON MALL, K.G.ROAD",SHAKTHI MARKETING - Google Maps
AKHILA,9016457,Maharaja Times - K.G Road,560009,9980994234,KAM,"Kempegowda Complex,K.G Road",Maharaja Times - Google Maps
AKHILA,9034764,SRI GAJANANA ENTERPRISES,560099,9845982089,KAM," OPP. R.K GREEN LAND, ANEKAL MAIN ROAD",Titan Watch Showroom - Google Maps
AKHILA,9020393,SRI GAJANANA ENTERPRISES,560091,9845982089,KAM," NEXT TO FEET FASHION & ROYAL MART, BYADERAHALLI",SRI GAJANANA ENTERPRISES - Google Maps
AKHILA,9034931,TIME STUDIO,560038,9945644888,KAM,"Next to KFC, CMH Road, Indranagar",times studio - Google Maps
AKHILA,9024724,GANAVI TIMES,560072,7338029802,KAM,"2 STAGE, NAGARBHAVI,",Titan Show Room(Ganavi times) - Google Maps
AKHILA,9000071,WORLD OF WATCHES,570001,9342188799,KAM," NEXT TO REYMONDS SHOP, DEVARAJ URS ROAD",World Of Watches - Google Maps
AKHILA,1132367,SWISS TIME HOUSE RETAIL PVT LTD,560023,9606562389 / 9447187770,KAM,"1st floor, Lulu Fashion Store, Binnipete",1946 swiss time pvt ltd lulu mall bangalore - Google Search
AKHILA,1140689,SWISS GROUP INDIA PVT LTD,560048,9742595340,KAM,"WHITEFIELD MAIN ROAD, MAHADEVPURA, VR MALL",swiss time lulu vr bangalore - Google Search
RAVI,9003988,SRI RAMA WATCH CENTER,520002,9246466172,KAM,"SWARNALOK COMPLEX, ELURU ROAD",SRI RAMA WATCH CENTER - Google Maps
RAVI,9003990,SRI SAI WATCH CENTRE,520002,9246466172,KAM,"SRI RAM CHIT BUILDING,  ELURU ROAD",SRI SAI WATCH CENTRE - Google Maps
